time,pitch_s1,yaw_s1,roll_s1,pitch_s2,yaw_s2,roll_s2
0.0,13.942,-57.544,-6.347,6.454,36.284,3.142
0.0333666666666666,13.942,-57.544,-6.347,6.454,36.284,3.142
0.0667333333333333,13.942,-57.544,-6.347,6.454,36.284,3.142
0.1001,13.942,-57.544,-6.347,6.454,36.284,3.142
0.1334666666666666,13.942,-57.544,-6.347,6.454,36.284,3.142
0.1668333333333333,14.291,-57.289,-6.555,6.454,36.284,3.142
0.2002,14.094,-55.94,-6.139,6.454,36.284,3.142
0.2335666666666666,13.887,-56.509,-6.417,6.454,36.284,3.142
0.2669333333333333,14.415,-57.097,-6.832,6.454,36.284,3.142
0.3003,14.286,-56.688,-6.664,6.454,36.284,3.142
0.3336666666666666,13.438,-58.658,-6.396,6.454,36.284,3.142
0.3670333333333333,14.07,-57.758,-7.076,6.454,36.284,3.142
0.4004,14.076,-58.303,-7.071,6.454,36.284,3.142
0.4337666666666667,13.817,-58.494,-7.919,6.454,36.284,3.142
0.4671333333333333,14.913,-58.108,-8.587,6.454,36.284,3.142
0.5005000000000001,15.106,-58.185,-8.025,6.454,36.284,3.142
0.5338666666666667,15.523,-57.912,-8.162,6.454,36.284,3.142
0.5672333333333334,14.917,-58.414,-8.326,6.454,36.284,3.142
0.6006,13.4,-59.386,-6.707,6.454,36.284,3.142
0.6339666666666667,13.064,-59.004,-6.709,6.454,36.284,3.142
0.6673333333333333,11.733,-59.51,-4.928,6.454,36.284,3.142
0.7007,12.529,-59.276,-6.037,6.454,36.284,3.142
0.7340666666666666,11.845,-59.047,-6.039,6.153,36.554,2.862
0.7674333333333333,10.915,-58.573,-4.538,6.272,36.541,2.799
0.8008000000000001,10.912,-58.751,-4.977,5.683,36.448,2.497
0.8341666666666667,11.217,-59.006,-4.771,5.917,35.974,2.504
0.8675333333333334,11.159,-58.855,-5.032,5.912,35.824,2.597
0.9009,11.532,-57.926,-5.429,6.219,36.154,3.016
0.9342666666666668,11.556,-57.9,-5.831,5.827,35.921,2.598
0.9676333333333332,11.484,-57.618,-5.991,5.995,36.292,2.817
1.001,12.041,-58.012,-6.184,5.657,36.315,2.488
1.0343666666666669,12.333,-58.054,-6.29,5.498,36.234,2.245
1.0677333333333334,11.933,-57.568,-6.712,5.853,36.582,2.555
1.1011,11.571,-57.405,-6.172,5.468,36.718,2.407
1.1344666666666667,10.564,-57.489,-5.511,6.23,37.027,2.714
1.1678333333333333,10.62,-55.748,-4.984,6.196,36.708,2.628
1.2012,9.514,-55.547,-3.334,5.961,37.028,2.446
1.2345666666666666,10.101,-54.722,-3.887,5.867,36.47,2.397
1.2679333333333334,11.141,-53.841,-4.059,5.862,36.492,2.573
1.3013,11.138,-54.596,-4.209,6.217,35.947,2.698
1.334666666666667,10.242,-54.539,-3.806,6.109,35.542,2.626
1.3680333333333334,11.973,-55.277,-5.265,6.029,35.161,2.787
1.4014,11.522,-55.342,-5.135,5.454,34.804,2.722
1.4347666666666667,10.91,-54.587,-5.114,5.869,34.771,2.675
1.4681333333333333,12.309,-54.644,-5.695,5.928,34.33,2.671
1.5015,12.53,-53.26,-5.468,5.919,33.729,2.655
1.5348666666666666,12.397,-51.306,-5.489,5.858,33.08,2.414
1.5682333333333334,11.322,-50.239,-4.204,5.66,33.549,2.439
1.6016,11.044,-48.73,-3.986,5.697,33.065,2.346
1.634966666666667,9.982,-46.197,-3.605,5.534,33.306,2.255
1.6683333333333334,9.355,-39.663,-3.725,5.863,32.93,2.489
1.7017,7.886,-34.053,-3.976,5.571,32.485,2.348
1.7350666666666668,7.468,-26.665,-3.817,5.998,32.057,2.45
1.7684333333333333,7.433,-21.511,-3.308,5.7,32.017,2.259
1.8018,6.317,-17.776,-2.863,5.749,32.039,2.406
1.8351666666666664,7.091,-15.262,-3.156,5.64,31.947,2.355
1.8685333333333332,6.127,-13.58,-2.435,5.489,31.86,2.211
1.9019,5.125,-13.16,-2.229,5.203,31.556,2.158
1.9352666666666667,5.003,-12.952,-2.814,5.2,31.677,2.252
1.9686333333333332,4.161,-12.288,-2.645,5.524,31.756,2.236
2.002,4.484,-12.796,-2.464,5.892,31.748,2.436
2.0353666666666665,4.729,-12.922,-2.744,5.651,31.316,2.592
2.0687333333333333,4.459,-12.958,-2.929,5.531,31.16,2.637
2.1021,4.03,-12.537,-2.733,5.206,31.585,2.375
2.135466666666667,3.971,-12.641,-2.908,5.111,31.057,2.234
2.168833333333333,4.247,-12.216,-2.94,4.956,31.137,2.131
2.2022,4.067,-12.609,-2.916,5.193,30.822,2.416
2.2355666666666667,4.088,-12.602,-2.891,5.603,31.716,2.936
2.268933333333333,4.195,-12.703,-2.782,5.265,31.195,2.647
2.3023,3.897,-12.328,-2.379,5.329,31.101,2.696
2.3356666666666666,3.935,-12.586,-2.47,5.31,31.08,2.587
2.3690333333333333,3.835,-12.595,-2.405,5.346,30.69,2.626
2.4024,4.417,-12.942,-2.649,5.14,30.788,2.653
2.435766666666667,4.474,-13.441,-2.842,5.191,30.561,2.602
2.469133333333333,4.487,-13.35,-2.797,5.293,30.459,2.721
2.5025,4.68,-13.851,-3.133,5.208,30.18,2.438
2.5358666666666667,5.011,-14.527,-3.565,5.314,30.422,2.725
2.569233333333333,4.775,-14.931,-3.616,5.597,30.237,2.746
2.6026,4.595,-15.59,-3.485,5.437,30.222,2.614
2.6359666666666666,4.123,-15.635,-3.093,5.396,30.497,2.782
2.6693333333333333,3.992,-16.026,-3.108,5.496,30.842,2.957
2.7027,3.392,-16.186,-2.912,5.633,30.296,2.517
2.736066666666667,2.064,-15.893,-2.971,5.494,30.762,2.537
2.769433333333333,0.631,-15.977,-2.929,5.636,30.173,2.587
2.8028,0.057,-16.679,-2.762,5.008,29.946,2.216
2.8361666666666667,-0.197,-17.154,-2.764,4.877,29.775,1.978
2.869533333333333,0.157,-17.436,-3.016,5.109,29.617,2.132
2.9029000000000003,-0.146,-17.947,-2.99,5.216,29.664,2.397
2.9362666666666666,0.26,-17.589,-2.65,4.697,29.708,2.169
2.9696333333333333,0.688,-17.405,-2.543,4.91,29.72,2.085
3.003,1.271,-17.446,-2.702,5.146,29.466,2.32
3.036366666666667,1.624,-17.567,-2.621,5.151,29.02,2.209
3.069733333333333,1.894,-17.615,-2.925,4.466,28.941,1.77
3.1031,1.76,-17.545,-2.728,4.614,29.138,1.773
3.1364666666666667,1.67,-18.019,-2.528,4.595,29.255,1.947
3.169833333333333,1.83,-18.049,-2.558,4.423,28.99,1.814
3.2032000000000003,1.738,-18.54,-2.661,4.575,28.847,1.907
3.2365666666666666,2.051,-19.694,-2.979,4.677,28.815,1.827
3.2699333333333334,2.105,-19.411,-2.967,4.677,28.786,1.863
3.3033,2.517,-19.99,-3.174,4.484,28.756,1.693
3.336666666666667,2.811,-19.338,-3.363,4.774,28.927,1.941
3.370033333333333,2.814,-19.313,-3.586,4.905,29.022,2.08
3.4034,2.916,-19.621,-3.655,4.501,28.945,1.902
3.4367666666666667,2.866,-19.591,-3.487,5.005,28.627,2.135
3.470133333333333,2.632,-19.085,-3.607,4.246,28.653,1.649
3.5035000000000003,2.12,-19.192,-3.747,4.526,29.049,1.828
3.5368666666666666,2.027,-19.292,-4.103,4.89,29.624,2.089
3.5702333333333334,2.103,-18.86,-3.882,4.536,29.173,1.76
3.6036,2.135,-18.308,-3.805,4.163,29.134,1.774
3.636966666666667,2.17,-18.003,-3.667,4.384,28.968,1.8
3.670333333333333,2.218,-18.086,-3.543,3.984,28.796,1.651
3.7037,2.909,-17.854,-4.007,4.721,29.15,2.019
3.7370666666666663,2.695,-17.815,-4.059,5.064,29.539,2.334
3.7704333333333335,3.494,-17.548,-4.749,4.684,29.002,2.047
3.8038,3.778,-17.877,-4.374,4.394,29.055,1.906
3.8371666666666666,3.479,-17.758,-4.368,4.807,28.978,2.306
3.870533333333333,4.169,-17.729,-4.735,4.486,28.776,2.067
3.9039,4.077,-17.367,-4.855,4.49,28.855,1.909
3.937266666666667,3.732,-17.616,-4.702,4.333,29.217,2.004
3.970633333333333,3.672,-18.024,-4.596,3.992,28.784,1.953
4.004,3.435,-17.841,-4.522,4.146,28.34,2.117
4.037366666666666,3.736,-18.142,-4.568,3.636,28.523,2.319
4.070733333333333,3.518,-18.006,-4.463,3.893,28.594,2.359
4.1041,3.158,-17.818,-4.251,3.705,29.025,2.045
4.137466666666667,3.564,-18.051,-4.675,3.602,28.755,1.928
4.170833333333333,3.684,-17.947,-4.579,3.441,29.283,2.193
4.2042,3.51,-18.28,-4.52,3.448,28.684,2.148
4.237566666666667,3.544,-18.213,-4.508,3.581,28.499,2.148
4.270933333333334,3.483,-18.413,-4.272,3.577,28.571,2.11
4.3043000000000005,3.443,-17.864,-4.213,3.551,28.743,2.168
4.337666666666666,3.483,-18.021,-4.298,3.811,28.353,2.222
4.371033333333333,4.102,-17.873,-4.404,3.388,28.349,1.936
4.4044,4.029,-18.276,-4.408,3.425,28.3,1.984
4.437766666666667,3.765,-18.263,-4.256,3.908,27.939,2.186
4.471133333333333,4.09,-18.687,-4.386,3.933,28.233,2.083
4.5045,4.116,-18.61,-4.469,3.618,28.35,2.188
4.537866666666667,4.242,-18.366,-4.49,3.831,28.367,2.3
4.571233333333334,4.464,-18.535,-4.516,3.594,28.413,2.141
4.6046000000000005,4.615,-18.753,-4.326,3.933,28.696,2.166
4.637966666666666,4.902,-18.399,-4.412,3.659,28.355,2.043
4.671333333333333,5.483,-18.474,-4.486,3.995,28.496,2.2
4.7047,6.222,-18.561,-4.785,3.608,28.468,2.095
4.738066666666667,7.405,-19.058,-5.741,3.045,28.053,2.156
4.771433333333333,8.355,-19.132,-5.762,3.412,27.964,2.085
4.8048,8.551,-19.214,-5.962,3.557,27.77,2.022
4.838166666666667,8.344,-18.459,-5.825,3.57,28.209,2.17
4.871533333333334,7.78,-18.919,-5.723,3.744,28.517,2.168
4.9049000000000005,7.505,-18.848,-5.593,3.373,28.325,2.103
4.938266666666666,7.244,-18.717,-5.063,2.987,28.446,1.742
4.971633333333333,6.986,-18.588,-4.917,2.903,28.308,1.846
5.005,6.998,-18.549,-4.829,3.076,28.113,1.984
5.038366666666667,7.278,-18.183,-4.722,3.266,28.15,1.999
5.071733333333333,7.032,-17.69,-4.357,3.551,28.076,2.117
5.1051,6.821,-17.842,-4.47,3.499,27.707,2.174
5.138466666666667,6.811,-18.698,-4.646,3.616,27.847,2.282
5.171833333333334,6.089,-18.103,-4.847,4.17,27.581,2.336
5.2052000000000005,5.548,-18.621,-4.614,4.61,27.88,2.794
5.238566666666666,5.897,-18.611,-5.047,5.005,27.348,2.381
5.271933333333333,5.375,-18.45,-5.355,4.837,26.459,2.214
5.3053,5.363,-18.885,-5.293,4.884,26.107,2.097
5.338666666666667,6.31,-18.564,-5.273,5.681,26.477,1.997
5.372033333333333,6.436,-18.705,-5.421,5.159,26.483,1.971
5.4054,6.426,-18.241,-5.161,5.58,26.54,1.868
