time,pitch_s1,yaw_s1,roll_s1,pitch_s2,yaw_s2,roll_s2
0.0,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.0333666666666666,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.0667333333333333,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.1001,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.1334666666666666,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.1668333333333333,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.2002,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.2335666666666666,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.2669333333333333,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.3003,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.3336666666666666,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.3670333333333333,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.4004,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.4337666666666667,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.4671333333333333,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.5005000000000001,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.5338666666666667,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.5672333333333334,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.6006,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.6339666666666667,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.6673333333333333,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.7007,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.7340666666666666,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.7674333333333333,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.8008000000000001,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.8341666666666667,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.8675333333333334,2.844,-11.703,-2.944,7.854,13.748,-0.346
0.9009,2.844,-11.703,-2.944,8.578,15.943,0.153
0.9342666666666668,2.844,-11.703,-2.944,9.476,18.743,0.737
0.9676333333333332,2.844,-11.703,-2.944,10.493,20.106,1.098
1.001,2.917,-11.677,-2.835,11.242,21.533,1.662
1.0343666666666669,2.788,-11.759,-2.908,11.181,21.86,1.788
1.0677333333333334,2.929,-11.47,-2.901,10.423,20.993,1.346
1.1011,3.044,-11.338,-2.84,10.14,20.171,0.629
1.1344666666666667,3.0,-11.437,-2.882,9.455,19.142,-0.086
1.1678333333333333,2.834,-11.778,-2.891,8.154,17.758,-0.395
1.2012,2.85,-11.786,-2.932,7.704,16.7,-0.332
1.2345666666666666,2.626,-11.464,-2.725,7.085,15.764,-0.444
1.2679333333333334,2.955,-11.915,-2.658,7.254,15.404,-0.408
1.3013,2.702,-11.854,-2.693,7.179,15.092,-0.48
1.334666666666667,2.852,-11.883,-2.895,7.064,14.499,-0.608
1.3680333333333334,2.73,-11.825,-2.583,6.733,14.126,-0.925
1.4014,2.501,-11.608,-2.628,7.057,14.212,-1.183
1.4347666666666667,2.762,-11.782,-2.641,6.702,14.233,-1.61
1.4681333333333333,2.451,-12.127,-2.503,7.106,14.035,-1.625
1.5015,2.799,-13.009,-2.819,6.498,14.411,-1.951
1.5348666666666666,3.8,-14.353,-2.286,5.601,14.737,-2.466
1.5682333333333334,4.618,-17.489,-1.455,5.878,15.043,-2.455
1.6016,6.024,-21.389,-0.078,6.026,15.628,-2.827
1.634966666666667,8.688,-26.676,-0.018,6.2,16.474,-3.406
1.6683333333333334,10.16,-32.611,1.243,6.647,17.177,-3.689
1.7017,11.225,-36.579,1.927,5.857,18.911,-4.2
1.7350666666666668,11.186,-39.404,1.881,6.034,20.634,-4.63
1.7684333333333333,9.923,-42.193,2.873,6.794,23.492,-4.697
1.8018,10.075,-43.522,3.235,7.552,26.447,-5.275
1.8351666666666664,10.331,-43.657,3.071,8.349,30.953,-5.565
1.8685333333333332,10.672,-44.33,3.711,9.95,35.818,-5.01
1.9019,10.545,-45.082,4.282,11.881,41.181,-4.685
1.9352666666666667,10.755,-45.903,3.946,13.206,46.665,-5.114
1.9686333333333332,9.642,-45.794,4.318,13.72,50.361,-5.515
2.002,10.118,-46.469,4.756,14.73,53.034,-5.664
2.0353666666666665,9.875,-46.69,4.935,14.663,54.382,-6.13
2.0687333333333333,10.203,-47.992,5.606,14.927,54.538,-5.946
2.1021,9.292,-48.213,5.825,13.921,56.417,-7.404
2.135466666666667,9.588,-49.35,5.675,14.953,55.777,-7.311
2.168833333333333,8.798,-50.138,5.826,14.462,56.772,-7.375
2.2022,9.365,-51.044,5.347,13.504,57.907,-7.888
2.2355666666666667,9.656,-51.135,6.243,13.954,57.582,-7.451
2.268933333333333,9.821,-51.505,6.596,14.242,57.88,-7.506
2.3023,9.62,-53.212,6.868,13.372,58.325,-7.648
2.3356666666666666,8.929,-54.166,6.425,13.415,59.009,-7.071
2.3690333333333333,9.963,-53.479,6.121,13.485,58.812,-8.103
2.4024,10.406,-52.839,6.835,12.385,58.244,-8.462
2.435766666666667,9.941,-53.815,6.262,11.568,58.332,-8.468
2.469133333333333,9.677,-53.338,6.661,12.845,58.74,-8.494
2.5025,9.945,-52.977,6.01,11.532,59.094,-8.942
2.5358666666666667,9.281,-52.903,6.789,10.842,59.313,-9.956
