group,label,s1_pitch_std,s2_pitch_std,s1_pitch_mean,s2_pitch_mean,inter_pitch_diff_mean,inter_pitch_corr,s1_yaw_std,s2_yaw_std,s1_yaw_mean,s2_yaw_mean,inter_yaw_diff_mean,inter_yaw_corr,s1_roll_std,s2_roll_std,s1_roll_mean,s2_roll_mean,inter_roll_diff_mean,inter_roll_corr
g1,Main-Th,2.9326685276678917,3.402251173200356,1.1580028368794326,7.563849645390071,6.861350354609928,0.20062653367041977,5.319719780661141,17.18781067898719,-14.903388652482269,29.698903546099288,44.602292198581566,0.06834262405790234,2.3395224882642123,3.8970489238222203,2.8079475177304967,-5.996842553191488,8.875468085106382,-0.5241760117078793
g1,Main-Th,4.168116919589491,3.4459880775315868,0.9639633027522934,9.504120412844038,8.664863532110092,0.02937549822697152,14.01567652025794,23.719210020249285,-22.097780963302753,32.23801949541284,54.40615596330276,-0.2075385687244152,2.2299098732140843,2.433987964460317,3.1106754587155963,-5.0630321100917435,8.17370756880734,0.2109989259712451
g1,Meta-Con,11.127998902887294,4.606422280269283,5.279296825396826,13.859718223583462,12.03559365079365,-0.5519288329567732,14.72588145721693,20.72975347923699,-15.933185714285713,28.63143032159265,46.91387936507936,-0.5065237058783238,5.036816406973127,2.8266030442834986,-2.894773015873015,-2.218410413476263,4.3486142857142855,0.22285439123214476
g1,Main-Th,3.2957050054019668,9.652770050060461,7.983723684210525,15.62316393442623,9.806655737704919,0.5336173283249788,3.5710732249661548,5.420130166353811,-12.779907894736843,-15.517524590163934,6.230786885245902,-0.5577017568576358,1.081878244276405,3.4560425318515993,-4.727394736842105,-10.051573770491805,5.095016393442623,-0.3031983990534879
g1,Main-Con,3.733179057482114,2.0001312381123566,10.174658344283838,10.92141655716163,3.6434126149802895,-0.34298842443533456,8.42711443743926,5.148200075558294,-31.356299605781867,21.59502102496715,52.95132063074902,0.20959880026611902,1.2415594167458066,3.399069935801071,-6.2002023653088045,1.2238777923784496,7.441315374507227,0.4534515673091583
g1,Meta-Con,10.079348788862093,1.2355025626174527,7.700397338403042,9.471441064638782,7.650165399239544,0.3362358130257711,8.540330618902889,6.196110374170019,-26.29235931558935,23.097066539923954,49.38942585551331,-0.3714960931204048,2.2852224804513543,0.8142822792866804,-1.49712927756654,-1.7558365019011406,1.6763536121673002,0.27555264594237283
g1,Meta-Con,5.053788729205158,0.5003950706399071,-9.838190615835776,7.8665219941348985,17.704712609970674,0.5717997232333444,4.757230962646738,2.627859749888755,-42.77167448680352,18.48083870967742,61.25251319648095,-0.9535137447848163,2.4171017361425955,0.675855872793944,3.4082815249266867,-1.5936920821114369,5.001973607038123,-0.21480272493681815
g1,Meta-Con,4.755886804791276,3.031064472848159,7.4041204139228585,10.93304797742239,4.665420507996237,0.29640596498029714,8.01540385997305,4.02738832416758,-18.834123236124174,19.957458137347132,38.79158137347131,-0.21711105902223857,5.91798015688639,1.655415208559479,-2.9772257761053624,0.5099219190968955,7.273597365945437,-0.6071168746500686
g1,Main-Th,0.5710864915667103,0.9562470238969247,8.444730158730158,7.449984126984128,1.2176984126984127,-0.5730673476433183,0.6170699312486417,2.041745180345582,-20.00836507936508,11.543460317460317,31.551825396825397,-0.06598996874853567,0.42260982054356816,0.9800182848853778,-5.030507936507938,0.0573333333333333,5.087841269841268,0.4755210660350742
g1,Main-Con,6.055827206631777,4.260961583274455,7.297560975609757,13.833716463414634,7.978204268292683,0.22357777620187486,12.980755917153958,13.813640716365402,-31.853861280487806,23.06310518292683,54.91696646341463,-0.5332770913055676,4.345350677115708,5.383954030965514,-2.5811021341463416,-2.9502591463414634,4.493842987804879,0.297527788079033
g1,Meta-Con,4.504708268083676,2.184034328421434,3.247170418006431,8.944025723472668,6.327980707395499,0.021392118234886355,13.41596175820676,10.334271842469336,-15.626951768488746,27.062122186495177,42.689073954983925,-0.4134547129095215,5.520271733058462,3.010268105719558,7.750874598070739,-5.798948553054663,13.892369774919615,-0.19668264238072106
